ExperimentID,UserID,VideoID,Activity,StartResolution,EndResolution,Gender,Personality,SI,TI,Cluster,Glasses
1,111,11,Sitting,360,720,Male,Neuroticism,8.778,3.687,00010,1
1,111,12,Sitting,360,480,Male,Neuroticism,38.861,36.951,00010,1
1,111,13,Sitting,360,720,Male,Neuroticism,138.691,8.303,00010,1
1,111,14,Sitting,360,720,Male,Neuroticism,136.498,28.59,00010,1
1,111,21,Walking,360,720,Male,Neuroticism,14.343,3.491,00010,1
1,111,22,Walking,360,480,Male,Neuroticism,40.179,38.442,00010,1
1,111,23,Walking,360,480,Male,Neuroticism,117.562,6.145,00010,1
1,111,24,Walking,360,480,Male,Neuroticism,118.669,26.814,00010,1
1,111,31,Running,360,360,Male,Neuroticism,41.164,1.424,00010,1
1,111,32,Running,360,480,Male,Neuroticism,40.308,31.631,00010,1
1,111,33,Running,360,360,Male,Neuroticism,123.356,8.147,00010,1
1,111,34,Running,360,480,Male,Neuroticism,138.758,37.133,00010,1
2,120,11,Sitting,360,720,Female,Extraversion,8.778,3.687,10000,1
2,120,12,Sitting,360,1080,Female,Extraversion,38.861,36.951,10000,1
2,120,13,Sitting,360,480,Female,Extraversion,138.691,8.303,10000,1
2,120,14,Sitting,360,480,Female,Extraversion,136.498,28.59,10000,1
2,120,21,Walking,360,720,Female,Extraversion,14.343,3.491,10000,1
2,120,22,Walking,360,480,Female,Extraversion,40.179,38.442,10000,1
2,120,23,Walking,360,720,Female,Extraversion,117.562,6.145,10000,1
2,120,24,Walking,360,720,Female,Extraversion,118.669,26.814,10000,1
2,120,31,Running,360,480,Female,Extraversion,41.164,1.424,10000,1
2,120,32,Running,360,1080,Female,Extraversion,40.308,31.631,10000,1
2,120,33,Running,360,720,Female,Extraversion,123.356,8.147,10000,1
2,120,34,Running,360,720,Female,Extraversion,138.758,37.133,10000,1
3,121,11,Sitting,360,720,Male,Openness,8.778,3.687,00101,0
3,121,12,Sitting,360,480,Male,Openness,38.861,36.951,00101,0
3,121,13,Sitting,360,480,Male,Openness,138.691,8.303,00101,0
3,121,14,Sitting,360,480,Male,Openness,136.498,28.59,00101,0
3,121,21,Walking,360,720,Male,Openness,14.343,3.491,00101,0
3,121,22,Walking,360,480,Male,Openness,40.179,38.442,00101,0
3,121,23,Walking,360,480,Male,Openness,117.562,6.145,00101,0
3,121,24,Walking,360,720,Male,Openness,118.669,26.814,00101,0
3,121,31,Running,360,360,Male,Openness,41.164,1.424,00101,0
3,121,32,Running,360,480,Male,Openness,40.308,31.631,00101,0
3,121,33,Running,360,360,Male,Openness,123.356,8.147,00101,0
3,121,34,Running,360,480,Male,Openness,138.758,37.133,00101,0
4,131,11,Sitting,360,720,Male,Openness,8.778,3.687,10001,0
4,131,12,Sitting,360,480,Male,Openness,38.861,36.951,10001,0
4,131,13,Sitting,360,360,Male,Openness,138.691,8.303,10001,0
4,131,14,Sitting,360,480,Male,Openness,136.498,28.59,10001,0
4,131,21,Walking,360,720,Male,Openness,14.343,3.491,10001,0
4,131,22,Walking,360,480,Male,Openness,40.179,38.442,10001,0
4,131,23,Walking,360,480,Male,Openness,117.562,6.145,10001,0
4,131,24,Walking,360,720,Male,Openness,118.669,26.814,10001,0
4,131,31,Running,360,720,Male,Openness,41.164,1.424,10001,0
4,131,32,Running,360,720,Male,Openness,40.308,31.631,10001,0
4,131,33,Running,360,360,Male,Openness,123.356,8.147,10001,0
4,131,34,Running,360,480,Male,Openness,138.758,37.133,10001,0
5,132,11,Sitting,360,1080,Male,Extraversion,8.778,3.687,10000,1
5,132,12,Sitting,360,480,Male,Extraversion,38.861,36.951,10000,1
5,132,13,Sitting,360,480,Male,Extraversion,138.691,8.303,10000,1
5,132,14,Sitting,360,720,Male,Extraversion,136.498,28.59,10000,1
5,132,21,Walking,360,720,Male,Extraversion,14.343,3.491,10000,1
5,132,22,Walking,360,480,Male,Extraversion,40.179,38.442,10000,1
5,132,23,Walking,360,480,Male,Extraversion,117.562,6.145,10000,1
5,132,24,Walking,360,720,Male,Extraversion,118.669,26.814,10000,1
5,132,31,Running,360,480,Male,Extraversion,41.164,1.424,10000,1
5,132,32,Running,360,720,Male,Extraversion,40.308,31.631,10000,1
5,132,33,Running,360,360,Male,Extraversion,123.356,8.147,10000,1
5,132,34,Running,360,360,Male,Extraversion,138.758,37.133,10000,1
6,141,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,11011,0
6,141,12,Sitting,360,720,Female,Neuroticism,38.861,36.951,11011,0
6,141,13,Sitting,360,480,Female,Neuroticism,138.691,8.303,11011,0
6,141,14,Sitting,360,720,Female,Neuroticism,136.498,28.59,11011,0
6,141,21,Walking,360,720,Female,Neuroticism,14.343,3.491,11011,0
6,141,22,Walking,360,480,Female,Neuroticism,40.179,38.442,11011,0
