#TITLE                                                                                                          #AVG_SI     #STD_SI    #AVG_TI   #STD_TI     
HarryPotterandtheGobletofFireLordVoldemortreturnspart1HD1080p.mp4                                               6.381       3.58       3.746     5.907
1000modsPearlOfficialVideo1080p.mp4                                                                             10.008      7.715      10.602    12.188
TheBatmanDCFanDomeTeaser1080p.mp4                                                                               11.102      8.293      3.577     6.412
CtrlAltDeleteinErgoProxy1080p.mp4                                                                               11.621      7.524      9.661     15.733
BURNITDOWNOfficialVideoLinkinPark1080p.mp4                                                                      13.611      9.965      17.802    14.248
RoyalBloodLittleMonsterOfficialVideo1080p.mp4                                                                   14.494      7.2        16.337    13.295
NirvanaBreedLiveAtTheParamount19911080p.mp4                                                                     15.045      9.692      11.429    9.903
FASTandFURIOUSTOKYODRIFTFinalRaceMustangvs350Z1080HD1080p.mp4                                                   15.849      6.612      7.455     5.015
DuneOfficialTrailer1080p.mp4                                                                                    16.242      13.113     3.553     7.735
BatmanvsTheJokerHarleyQuinnCarChaseSceneSuicideSquad2016MovieCLIPHD1080p.mp4                                    16.911      8.34       11.872    8.0
MotionBlurTest1080p.mp4                                                                                         17.949      6.742      14.846    5.005
JonathanBreeYoureSoCool1080p.mp4                                                                                18.577      3.359      4.375     2.694
TheWitcherOpeningSceneGeraltvsKikimoraMonsterFight1080p.mp4                                                     18.752      6.461      5.112     5.373
TruckfightersMindControlOfficialMusicVideo1080p.mp4                                                             18.847      10.257     14.39     11.797
FirstFlightManofSteel1080p.mp4                                                                                  19.265      6.667      9.459     9.068
TheFlash5x08ZoomBarryandNoraSeason5Episode81080p.mp4                                                            19.462      6.736      16.966    14.681
TheStoryofAresWonderWomanSubtitles1080p.mp4                                                                     19.643      7.226      5.01      4.918
QueensOfTheStoneAgeSmoothSailing1080p.mp4                                                                       19.782      14.655     13.95     11.071
NirvanaAneurysmLiveAtTheParamountSeattle19911080p.mp4                                                           20.074      5.752      9.451     5.733
DOCTORSTRANGEMovieClipDormammuIveComeToBargainScene20161080p.mp4                                                20.141      7.275      8.89      9.808
PostMaloneCirclesLiveontheRunawayTour1080p.mp4                                                                  20.155      11.857     9.135     6.094
MatrixHeIsTheOne1080p.mp4                                                                                       20.174      10.892     9.125     9.903
WarehouseSceneBatmanvSuperman4kHDR1080p.mp4                                                                     20.268      9.388      11.283    8.467
JF17ThunderfighterjetsatPakistannationaldayparade1080p.mp4                                                      20.337      5.387      5.124     4.497
WarframeOfficialCinematicOpeningTrailer1080p.mp4                                                                20.657      27.506     6.421     4.958
DianavsAresPart3FinalWonderWomanSubtitles1080p.mp4                                                              20.688      2.699      8.274     4.622
